  OB  D1  D2  D3  D4  D5  D6  D7  D1  D2  D3  D4  D5  D6  D7
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0  20   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0  20   0   0   0   0   0   0  20   0
   0   0   0   0   0   0  20  20   0   0   0  20   0   0  20
   0   0   0   0  20  20  20  20  10   0   0  20  20   0  20
   0  70  40  20  20  20  20  30 100  50  20  20  20   0  20
   0   0  20  20  20  20   0   0  20  60  40  30  30  40   0
   0   0  10   0   0   0  20   0  20  30  20  30  20  30  20
   9  50  30  10  20   0  20  20  70  50  40   0   0  30  40
   7  80  40  30  10  30   0  20 100  70  50  20   0  30  20
   0  40  20  20  20   0  20   0  30  60  50  40  50   0  30
   1  60  20  20  20  20   0   0  50  50  60  40  20   0  20
   0   0   0   0   0  30  20   0   0   0  20  20   0  20  20
  51  60  30  30  20   0  30  20  40  40  30  30  30  30  40
